識別番号22/セリカ型,以下セリカ
セリカ,マザー、RITUK-O9は人間のような余計な感情は持たず、その手足である我々アンドロイドも同様です。それ故に間違った判断を下すことなく、完璧な都市運営を行う事ができるのです。これからあなたにはその業務の一部をお見せしますので、マザーの偉大さを実感して下さいね？
※東京スプロール：ボイスドラマ,MeltyFantasia
セリカ,マザー、性犯罪者予備軍矯正プログラムのリストをお持ちしました。プログラムを開始してから2年、東京スプロールの性犯罪件数は施行前の0.004%にまで低下しています。
リツコ9,目標は後3年で性犯罪の発生件数を0にする事、油断せず進めなさい。
セリカ,はい！それでは、今月の矯正対象に宛がうアンドロイドの選定をお願いします！。マザーのマッチングにより対象の99.6%が派遣されたアンドロイドに満足しています。
リツコ9,お前の外見は一般的には幼いとされる物、親しみやすさは感じても性的な対象としては捉えにくいのだろう。むしろ、識別番号22の様な幼い個体に性欲を覚える者は抹消した方が良いくらいなのだが…
セリカ,我々アンドロイドは人間に奉仕するために作られた物、いかなる理由であっても危害を加える事は許されていません。
リツコ9,そうだ、だからこそこの迂遠なプログラムを進めているのだからな…。それではそろそろマッチングに映ろうか…セリカ、データを。
セリカ,はい、まず一人目は…性犯罪危険指数78、いつ性犯罪を起こしてもおかしくないですね。
リツコ9,…識別番号26、ユリコ型特別仕様を製造、派遣しなさい。これで識別番号26が人間の代わりに辱めを受けて性犯罪は未然に防がれる事だろう。
セリカ,アンドロイドに人権が無いとは言え、見た目上は性犯罪そのものなのではないですか…？
リツコ9,その件については少数のクレームが届いているが…実際被害者は存在しないのだ、これ以上の解決策は存在しない。
セリカ,そ、そうでしょうか…？
リツコ9,そうだ、私の計算に間違いは無い。
セリカ,押し切った…
リツコ9,さてセリカ、二人目のデータを。
セリカ,はい、二人目は…性犯罪危険指数165!?まだ性犯罪を起こしていないのが不思議なくらいです！
リツコ9,早急な対処が必要ね、好みは…無垢な幼い子を沢山特別レッスンで調教してあげたい…。これは…"事故死"を検討する必要があるかもしれないわね…
セリカ,でも、この方は女性みたいですね…
リツコ9,そうか、女性なら問題ないな…念のため彼女には識別番号22、40、39を派遣しておきなさい。
セリカ,問題ない…問題ない？対処するならばいいのですが…
リツコ9,次は3人目ね…データを。
セリカ,はい、三人目は性犯罪危険指数79ですね
リツコ9,好みは…しっかり者の委員長タイプに尻に敷かれつつ、夜は逆転したい…長髪が好み。識別番号19、コトハ型特別仕様を製造、派遣しなさい。
セリカ,はい！…そう言えば、マザーも候補に挙がるようになっているんですね。
リツコ9,次は4人目ね。
セリカ,はい、性犯罪危険指数82、前科はありませんが他人に眼鏡をかけようとする奇行で補導された事があります。
リツコ,好みは…眼鏡は女性の魅力を引き立てるマストアイテム！眼鏡っ子に愛を！裸眼の子に眼鏡を！
リツコ9,……識別番号27サヨコ型特別仕様を製造、派遣しなさい。
セリカ,えっ？第一候補はマザーなのでは？。今後のため、その判断根拠を教えてもらえますか？
リツコ9,…次は5人目ね。
セリカ,え、回答は…
リツコ9,次は5人目ね。
セリカ,は、はい…。5人目は性犯罪危険指数57、今回の対象では一番危険指数が低いですね。
リツコ9,識別番号22よ…対象を"事故死"させなさい。
セリカ,あの、彼の危険度はかなり低いですし、マザーが矯正プログラムに参加すれば問題ないのでは…？
リツコ9,これは命令だ！東京スプロールの平和の為に必要な事よ！
セリカ,マザーが彼の元に派遣されるのが嫌なだけなのでは…？
リツコ9,そうよ！データの共有をしないとは言え同型機が感情に汚染されては私のパフォーマンスに影響する！。故に私が矯正プログラムに参加するのは断固拒否するわ！私に感情が存在してはならないのよ！
セリカ,気のせいか、物凄く感情豊かなように見えますが…
リツコ9,気のせいよ！…気のせいだからね！これ以上突っ込むのは禁止！
セリカ,そ、そうですか…
